,project,operational,city_AWTP,inland_coastal_40mi,state_region_provence,country,detail_PR_type,awtp_contains_RO,max_treatment_per_facility_RO,wwtp_effluent,advanced_treatment_detail_RO,upstream_RO,concentrate_treatment,RO_concentrate_management
32,Aquaduin formerly Intermunicipal Water Company from the Veurne Region,Y,Koksijde,Coastal,West Flanders,Belgium,groundwater,Y,"secondary, advanced, groundwater augmentation",secondary,"HOCl, UF, HOCl/NH4, cartridge filtration, RO, UV/H2O2","UF, cartridge filtration",constructed wetland,ocean discharge
33,NEWater,Y,Singapore,Coastal,NA,Singapore,reservoir,Y,"secondary, advanced, reservoir augmentation",secondary,"HOCl/NH4, MF, RO, cartridge filtration, UV, HOCl/NH4",MF,none reported,ocean discharge
34,Beaufort West Municipality,Y,Beaufort West,Inland,Western Cape,South Africa,reservoir,Y,"secondary, advanced, reservoir augmentation",secondary,"HOCl, settling, HOCl, media filtration, UF, RO, UV/H2O2, HOCl",UF,maturation pond,unknown
35,Ethekwini 3 Remix Water Demonstration Plant,N,Durban,Coastal,KwaZulu-Natal,South Africa,DPR (unspecified),Y,"secondary, advanced, DPR (unspecified)",secondary,"MBR, RO",MBR,none reported,ocean discharge
36,Barcelona Barcelona 2,Y,Barcelona,Coastal,Barcelona,Spain,groundwater,Y,"secondary, advanced, groundwater augmentation",secondary,"filtration (unspecified), UV, UF, RO",UF,none reported,ocean discharge
37,West Basin Recycling Plant Groundwater Replenishment and Seawater Barrier El Segundo 1 and 2,Y,El Segundo,Coastal,CA,USA,groundwater,Y,"secondary, advanced, groundwater augmentation",secondary,"MF, RO, UV/H2O2",MF,none reported,ocean discharge
38,City of Abilene Hamby Water Reclamation Facility and Indirect Reuse Project,Y,Abilene,Inland,TX,USA,reservoir,Y,"advanced, reservoir augmentation",raw,"MBR, RO, ozone/BAF, HOCl",MBR,chlorination,surface water discharge
39,Big Spring Colorado River Municipal Water District,Y,Big Spring,Inland,TX,USA,raw water,Y,"tertiary, advanced, raw water augmentation",tertiary,"MF, RO, UV/H2O2",MF,none reported,surface water discharge
40,El Paso 2,N,El Paso,Inland,TX,USA,treated water,Y,"secondary, advanced, treated water augmentation",secondary,"membrane filtration (unspecified), RO, UV/AOP (unspecified), GAC, HOCl",membrane filtration (unspecified),none reported,surface water discharge
41,Monterey One Water,Y,Monterey,Coastal,CA,USA,groundwater,Y,"secondary, advanced, groundwater augmentation",secondary,"ozone, membrane filtration (unspecified), RO, UV/H2O2, HOCl/NH4",membrane filtration (unspecified),none reported,ocean discharge
42,Arapahoe County Cottonwood,Y,Englewood,Inland,CO,USA,groundwater,Y,"tertiary, riverbank filtration, groundwater augmentation, advanced",tertiary,"RO, UV/H2O2, air stripping, HOCl",None,"coagulation, MF, trickling filter",surface water discharge
43,Pure Water Oceanside,Y,Oceanside,Coastal,CA,USA,groundwater,Y,"secondary, advanced, groundwater augmentation",secondary,"UF, RO, UV/HOCl",UF,none reported,ocean discharge
44,City of Oxnard Advanced Water Treatment Facility,N,Oxnard,Coastal,CA,USA,groundwater,Y,"secondary, advanced, groundwater augmentation",secondary,"MF, RO, UV/H2O2",MF,none reported,ocean discharge
45,Pure Water Soquel,N,Santa Cruz,Coastal,CA,USA,groundwater,Y,"secondary, advanced, groundwater augmentation",secondary,"HOCl, ozone, MF, RO, UV/H2O2, HOCl",MF,none reported,ocean discharge
46,Orange County Groundwater Replenishment System,Y,Fountain Valley,Coastal,CA,USA,groundwater,Y,"secondary, advanced, groundwater augmentation",secondary,"MF, RO, UV/H2O2",MF,conventional wastewater treatment,sewer discharge
47,Los Alamitos Barrier Water Replenishment Leo J Vander Lans Water Treatment Facility Long Beach 1 and 2,Y,Long Beach,Coastal,CA,USA,groundwater,Y,"tertiary, advanced, groundwater augmentation",tertiary,"MF, RO, UV/H2O2, HOCl",MF,conventional wastewater treatment,sewer discharge
48,Montebello Forebay County Sanitation Districts of Los Angeles County Pico Rivera 1 and 2,Y,Pico Rivera,Coastal,CA,USA,groundwater,Y,"tertiary, advanced, groundwater augmentation",tertiary,"UF, RO, UV/HOCl",UF,conventional wastewater treatment,sewer discharge
49,North City Pure Water Project,N,San Diego,Coastal,CA,USA,reservoir,Y,"tertiary, advanced, reservoir augmentation",tertiary,"ozone/BAF, UF, RO, UV/HOCl",UF,conventional wastewater treatment,sewer discharge
50,Santa Monica,Y,Santa Monica,Coastal,CA,USA,groundwater,Y,"secondary, advanced, groundwater augmentation",secondary,"MBR, cartridge filtration, RO, UV/HOCl, HOCl","MBR, cartridge filtration",conventional wastewater treatment,sewer discharge
51,Cave Creek Water Reclamation Plant Rehabilitation Project,N,Phoenix,Inland,AZ,USA,groundwater,Y,"advanced, groundwater augmentation",raw,"grit chamber, filtration (unspecified), MBR, RO, UV/AOP (unspecified)",MBR,conventional wastewater treatment,sewer discharge
52,East County Advanced Water Purification Program,N,Santee,Coastal,CA,USA,reservoir,Y,"secondary, advanced, reservoir augmentation",secondary,"membrane filtration (unspecified), RO, UV/HOCl",membrane filtration (unspecified),conventional wastewater treatment,sewer discharge
53,Barcelona Barcelona 1,Y,Barcelona,Coastal,Barcelona,Spain,reservoir,Y,"secondary, tertiary, reservoir augmentation, advanced",secondary,"ClO2, coagulation, flocculation, media filtration, split: [ozone, GAC] or [UF, RO], recombine: HOCl",UF,none reported,surface water discharge
54,Paranaque City NEW Water,Y,Paranaque,Coastal,National Capital,Philippines,treated water,Y,"secondary, advanced, treated water augmentation",secondary,"media filtration, UF, RO, HOCl",UF,unknown,unknown
55,Frasers Reuse Plant,Y,Ballito,Coastal,KwaZulu Natal,South Africa,treated water,Y,"advanced, treated water augmentation",raw,"aeration basin, settling, HOCl, media filtration, UF, RO, HOCl, UV, HOCl",UF,water recovery; maturation pond,unknown
56,JEA H20 Purification Center,N,Jacksonville,Coastal,FL,USA,groundwater,Y,"tertiary, advanced, groundwater augmentation",secondary,"membrane filtration (unspecified), RO, UV/AOP (unspecified)",membrane filtration (unspecified),unknown,unknown
57,Scottsdale Water Campus,Y,Scottsdale,Inland,AZ,USA,groundwater,Y,"tertiary, advanced, groundwater augmentation",tertiary,"ozone, UF, RO, UV",UF,conventional wastewater treatment,sewer discharge
